drug_1_generic,drug_1_class,drug_1_brands,drug_1_formula_class,drug_2_generic,drug_2_class,drug_2_brands,drug_2_formula_class,interaction_type,mechanism,resulting_harm,severity,notes
fluoxetine/sertraline/paroxetine/citalopram,SSRI (Selective Serotonin Reuptake Inhibitor),Prozac/Zoloft/Paxil/Celexa,Aralkylamine derivative,phenelzine/tranylcypromine/isocarboxazid,MAOI (Monoamine Oxidase Inhibitor),Nardil/Parnate/Marplan,Hydrazine/non-hydrazine,Pharmacodynamic,Both block serotonin reuptake/metabolism causing dangerous synaptic serotonin accumulation,Serotonin Syndrome: cognitive dysfunction + autonomic instability + somatic tremors/hyperthermia/seizures/multiorgan failure,CONTRAINDICATED,14-day washout required when switching; 5 weeks for fluoxetine
imipramine/clomipramine,TCA (Tricyclic Antidepressant),Tofranil/Anafranil,Dibenzazepine derivative,phenelzine/tranylcypromine,MAOI,Nardil/Parnate,Hydrazine derivative,Pharmacodynamic,Dual serotonin reuptake inhibition from TCA+MAOI,Serotonin Syndrome,CONTRAINDICATED,Only imipramine and clomipramine have serotonin potency; nortriptyline/desipramine are safer with MAOIs
tramadol,Analgesic (weak SNRI + mu-opioid agonist),Ultram,Cyclohexanol derivative,fluoxetine/sertraline,SSRI,Prozac/Zoloft,Aralkylamine,Pharmacodynamic,Combined serotonergic action via multiple pathways — risk increases significantly with third serotonergic agent,Serotonin Syndrome,MAJOR,Risk especially high when a triptan is added as third serotonergic agent
linezolid,Oxazolidinone Antibiotic (reversible MAO-A inhibitor),Zyvox,Oxazolidinone,fluoxetine/venlafaxine,SSRI/SNRI,Prozac/Effexor,Aralkylamine,Pharmacodynamic,Linezolid acts as weak MAO-A inhibitor (Ki=55µM) combined with serotonergic drug,Serotonin Syndrome (mild to severe),MAJOR,Rare but documented; linezolid's weak MAO inhibition is sufficient to trigger in combination
St. John's Wort (Hypericum perforatum),Herbal supplement (MAO inhibitor + serotonergic),Various OTC herbal products,Plant alkaloid extract,sertraline/paroxetine,SSRI,Zoloft/Paxil,Aralkylamine,Pharmacodynamic,Combined serotonergic activity from herbal MAO inhibition + SSRI,Serotonin Syndrome,MODERATE,OTC herbal with documented serious interaction — patients often unaware
morphine/codeine/hydrocodone/oxycodone/fentanyl/methadone,Opioid Analgesic (mu-receptor agonist),MS Contin/Vicodin/OxyContin/Duragesic/Dolophine,Various opioid alkaloids,diazepam/alprazolam/lorazepam/clonazepam,Benzodiazepine (GABAA agonist),Valium/Xanax/Ativan/Klonopin,Benzodiazepine,Pharmacodynamic,Synergistic CNS depression: opioids act on mu-receptors (respiratory control) + benzodiazepines potentiate GABAA (CNS depression),Respiratory depression / extreme sedation / coma / death,CONTRAINDICATED,FDA 2016 Black Box Warning; observational studies confirm increased mortality vs opioids alone
morphine/hydrocodone/fentanyl,Opioid Analgesic,Various formulations,Opioid alkaloid,ethanol,CNS Depressant / Alcohol,Beer/wine/spirits,Ethanol,Pharmacodynamic,Synergistic CNS and respiratory depression at multiple receptor sites,Respiratory depression / overdose death / impaired cognition,CONTRAINDICATED,Strong warning in all opioid labeling; major cause of opioid overdose deaths
amphetamine/dextroamphetamine/methamphetamine,CNS Stimulant,Adderall/Dexedrine,Phenethylamine derivative,phenelzine/tranylcypromine/isocarboxazid,MAOI,Nardil/Parnate/Marplan,Hydrazine derivative,Pharmacodynamic,MAOI inhibits MAO-A (blocks NE breakdown); amphetamine blocks reuptake AND releases NE — synergistic synaptic NE accumulation,Hypertensive crisis / stroke / myocardial infarction,CONTRAINDICATED,14-day washout required; therapeutic combination sometimes used under careful monitoring
methylphenidate,CNS Stimulant (ADHD medication),Ritalin/Concerta,Piperidine derivative,phenelzine/tranylcypromine,MAOI,Nardil/Parnate,Hydrazine derivative,Pharmacodynamic,NE reuptake blockade + MAOI NE preservation → alpha-1 receptor overstimulation,Hypertensive crisis / myocardial infarction,CONTRAINDICATED,Absolute contraindication; ADHD patients on stimulants must not take MAOIs
phenylephrine,Decongestant (alpha-1 adrenergic agonist),Sudafed PE/Neo-Synephrine,Phenethylamine,phenelzine/tranylcypromine,MAOI,Nardil/Parnate,Hydrazine,Pharmacodynamic,Direct alpha-1 agonist + MAOI-preserved NE → excessive arteriole resistance,Hypertensive crisis / acute coronary syndrome,MAJOR,OTC decongestant; FDA warns against concurrent use; patients on MAOIs should avoid ALL decongestants
