Chemical_1_Name,Chemical_1_Formula,Chemical_1_Common_Products,Chemical_2_Name,Chemical_2_Formula,Chemical_2_Common_Products,Primary_Reaction_Products,Hazard_Type,Hazard_Severity,Mechanism_of_Harm,Health_Effects,Sources
Sodium Hypochlorite,NaOCl,Bleach (Clorox),Ammonia,NH3,Window cleaners; glass cleaners; some bathroom cleaners,Chloramine gas; NaCl; H2O,Toxic gas,Lethal,Chlorine hypochlorite oxidizes ammonia producing chloramine gas which attacks respiratory system and lungs,Eye irritation; throat irritation; coughing; shortness of breath; chest pain; wheezing; nausea; pneumonia; pulmonary edema; death in severe cases,https://www.healthline.com/health/bleach-and-ammonia; https://doh.wa.gov/community-and-environment/contaminants/bleach-mixing-dangers; https://cen.acs.org/safety/consumer-safety/Accidental-mix-bleach-acid-kills/97/i45
Sodium Hypochlorite,NaOCl,Bleach (Clorox),Hydrogen Peroxide,H2O2,Disinfectants; some wound cleaners,Chlorine gas; oxygen gas; water; sodium chloride,Toxic gas; explosion,Severe,Bleach oxidizes hydrogen peroxide violently producing oxygen gas with intense heat and potential chlorine gas formation,Respiratory tract irritation; skin irritation; eye irritation; chemical burns; potential blast injuries,https://bulkperoxide.com/can-you-mix-hydrogen-peroxide-and-bleach/; https://www.healthline.com/health/bleach-and-vinegar
Sodium Hypochlorite,NaOCl,Bleach (Clorox),Acetic Acid,CH3COOH,Vinegar; some glass cleaners,Chlorine gas; sodium acetate; hypochlorous acid; water,Toxic gas,Lethal,Acetic acid lowers pH which converts hypochlorous acid to chlorine gas via acid dissociation,Eye irritation; throat irritation; respiratory tract irritation; pulmonary edema; coughing; wheezing; potential fatality at high exposure,https://sciencenotes.org/mixing-bleach-and-vinegar-heres-what-happens/; https://www.healthline.com/health/bleach-and-vinegar; https://www.echemi.com/community/what-is-the-reaction-between-bleach-and-vinegar
Sodium Hypochlorite,NaOCl,Bleach (Clorox),Hydrochloric Acid,HCl,Toilet bowl cleaners; muriatic acid; some pool cleaners,Chlorine gas; sodium chloride; water,Toxic gas,Lethal,Acid reacts with hypochlorite ion producing chlorine gas which is absorbed through lungs and skin,Respiratory tract damage; reactive airways dysfunction syndrome (RADS); lung edema; pulmonary fibrosis; airway constriction; potential fatality,https://ehs.berkeley.edu/news/accidental-mixing-bleach-and-acid; https://cen.acs.org/safety/consumer-safety/Accidental-mix-bleach-acid-kills/97/i45; https://www.acsh.org/news/2019/11/09/bleach-death-restaurant-manager-can-be-explained-simplest-chemical-reaction-14389
Sodium Hypochlorite,NaOCl,Bleach (Clorox),Isopropanol (Rubbing Alcohol),C3H8O,Rubbing alcohol; some disinfectants,Chloroform; hydrochloric acid; dichloroacetone; chloroacetone,Toxic gas; toxic compound,Severe,Bleach oxidizes isopropanol to form chloroform and related compounds through oxidative cleavage,Anesthesia; unconsciousness; cardiac arrhythmia ('sudden sniffer death'); dizziness; headache; liver damage; kidney damage; respiratory irritation; potential cancer risk,https://sciencenotes.org/bleach-and-alcohol-make-chloroform-why-you-shouldnt-mix-disinfectants/; https://lni.wa.gov/safety-health/preventing-injuries-illnesses/hazardalerts/IsopropylAlcoholInDisinfectants.pdf
Sodium Hypochlorite,NaOCl,Bleach (Clorox),Ethanol,C2H6O,Hand sanitizers; some cleaning products,Chloroform; hydrochloric acid; chloroacetone; dichloroacetate,Toxic gas; toxic compound,Severe,Similar oxidative mechanism to isopropanol producing chloroform and related halogenated compounds,Anesthesia; unconsciousness; cardiac arrhythmia; dizziness; liver damage; kidney damage; nervous system damage; potential cancer,https://sciencenotes.org/bleach-and-alcohol-make-chloroform-why-you-shouldnt-mix-disinfectants/
Sodium Hypochlorite,NaOCl,Bleach (Clorox),Phosphoric Acid,H3PO4,Toilet bowl cleaners; rust removers,Chlorine gas; sodium phosphate; water,Toxic gas,Lethal,Phosphoric acid reduces pH causing conversion of hypochlorite to chlorine gas,Eye irritation; respiratory tract irritation; dizziness; nausea; potential fatality at high exposure,https://www.echemi.com/community/what-happens-when-you-mix-phosphoric-acid-and-bleach
Hydrogen Peroxide,H2O2,Disinfectants; wound cleaners; some whitening products,Acetic Acid,CH3COOH,Vinegar; some cleaners,Peracetic acid (peroxyacetic acid); water; acetic acid,Irritant; oxidizing agent,Moderate,Formation of peracetic acid as an equilibrium product through acid-catalyzed reaction; slow at room temperature without catalyst,Eye irritation; skin irritation; respiratory tract irritation; severe irritant to mucous membranes; corrosive to tissues,https://en.wikipedia.org/wiki/Peracetic_acid; https://www.fsis.usda.gov/sites/default/files/media_file/2020-08/Peroxyacetic-Acid.pdf
Hydrogen Peroxide,H2O2,Disinfectants; whitening agents; some cleaners,Acetone,C3H6O,Nail polish remover; some solvents,Triacetone triperoxide (TATP); hydrogen acetone adducts,Explosion,Severe,Formation of primary explosive acetone peroxide through nucleophilic addition especially with acid catalyst; highly sensitive to friction and shock,Explosive detonation; blast injuries; thermal burns; formation of highly unstable white crystalline solid,https://en.wikipedia.org/wiki/Acetone_peroxide; https://www.sciencedirect.com/science/article/abs/pii/S1871553211000685
Calcium Hypochlorite,Ca(ClO)2,Pool shock; pool chemicals; some disinfectants,Trichlor (Trichloroisocyanuric Acid),C3Cl3N3O3,Pool chlorine tablets; pool chemicals,Chlorine gas; heat; potential fire,Fire; explosion,Severe,Incompatible chlorinating agents react exothermically causing rapid chlorine gas release and ignition,Fire; explosion; thermal burns; respiratory tract injury; potential fatality,https://www.troublefreepool.com/wiki/index.php?title=Calcium_Hypochlorite; https://sunplay.com/blogs/posts/what-pool-chemicals-should-not-be-mixed
Calcium Hypochlorite,Ca(ClO)2,Pool shock; pool chemicals,Muriatic Acid (Hydrochloric Acid),HCl,Pool pH decreasers; some pool cleaners,Chlorine gas; calcium chloride; water,Toxic gas,Lethal,Acid releases chlorine gas from hypochlorite ion through protonation,Respiratory tract damage; reactive airways dysfunction; pulmonary edema; airway constriction; potential fatality,https://sunplay.com/blogs/posts/what-pool-chemicals-should-not-be-mixed
Sodium Hydroxide,NaOH,Drain cleaners; oven cleaners; caustic soda,Water,H2O,Tap water; any aqueous solution,Sodium hydroxide solution; heat (highly exothermic),Heat; potential chemical burn,Moderate,Dissolution of solid NaOH in water is highly exothermic releasing substantial heat,Severe chemical burns; potential boiling of water causing splash injuries; eye damage; skin damage; respiratory irritation,https://www.benjaminfranklinplumbing.com/charlotte/blog/2023/june/5-truths-and-a-lye-about-diy-drain-clog-solution/
Sodium Hydroxide,NaOH,Drain cleaners; oven cleaners,Aluminum metals,Al,Aluminum foil; some metals in pipes,Aluminum hydroxide; hydrogen gas; heat,Explosive gas; heat,Severe,Aluminum reacts with sodium hydroxide in aqueous solution producing hydrogen gas and heat; hydrogen is flammable and explosive,Thermal burns; blast injuries from hydrogen explosion; chemical burns; boiling water splash,https://van.physics.illinois.edu/ask/listing/491
Sodium Hydroxide,NaOH,Drain cleaners; oven cleaners,Ammonia,NH3,Ammonia-based cleaners; window cleaners,Chloramine gas (if bleach also present); hydroxide compounds,Toxic gas (if mixed with bleach),Severe,If bleach is also in the drain or on surfaces sodium hydroxide + ammonia can produce chloramine gas,Respiratory tract irritation; eye irritation; toxic gas exposure,https://science.jrank.org/pages/6242/Sodium-Hydroxide.html
Sulfuric Acid,H2SO4,Some drain cleaners (Liquid Lightning); battery acid,Water,H2O,Tap water; aqueous solutions,Sulfuric acid solution; heat (highly exothermic),Severe chemical burn; heat,Severe,Dissolution of sulfuric acid in water is extremely exothermic causing rapid temperature increase and potential spattering,Severe chemical burns; eye damage; potential blindness; respiratory tract irritation; tooth enamel erosion,https://www.1tomplumber.com/are-chemical-drain-cleaners-safe/
Sulfuric Acid,H2SO4,Some drain cleaners,Sodium Hydroxide,NaOH,Drain cleaners; oven cleaners,Sodium sulfate; water; heat,Extreme heat,Severe,Neutralization reaction is extremely exothermic and violent,Severe thermal burns; explosion risk; spattering hazard; respiratory irritation,https://www.theontimeexperts.com/dangerous-truths-about-chemical-drain-cleaners/
Sodium Hypochlorite,NaOCl,Bleach,Sodium Hydroxide,NaOH,Drain cleaners; oven cleaners,Sodium chloride; oxygen; heat,Heat,Moderate,Exothermic decomposition of bleach accelerated by alkaline conditions,Thermal burns; eye irritation; respiratory irritation,https://www.healthline.com/health/bleach-and-ammonia
Potassium Hydroxide,KOH,Some drain cleaners; oven cleaners,Water,H2O,Tap water,Potassium hydroxide solution; heat (highly exothermic),Thermal burn,Moderate,Dissolution of solid potassium hydroxide in water is highly exothermic,Severe chemical burns; eye damage; skin damage; potential blindness if contacted,https://www.chemicals.co.uk/blog/chemicals-used-in-oven-cleaners
