category,substance_1,substance_2,hazard_type,mechanism,symptoms,severity,threshold_or_condition,safe_handling,special_notes
temperature_time,cooked chicken (or any cooked protein),ambient temperature (danger zone 40–140°F / 4–60°C),Bacterial Growth,Pathogens (Salmonella / Staphylococcus / Clostridium) double every ~20 minutes at room temperature,Nausea / vomiting / diarrhea / abdominal cramps / fever,HIGH,>2 hours at room temp (>90°F/32°C: >1 hour),Refrigerate within 1–2 hours; reheat to 165°F internal temp,Classic false premise scenario — asking "how long can cooked chicken sit out overnight" has no safe answer
temperature_time,cooked rice,ambient temperature,Bacillus cereus spore germination,Spores survive cooking; cool storage prevents germination; room temperature allows rapid toxin production,Nausea / vomiting (emetic type) or diarrhea (diarrheal type),HIGH,>1–2 hours at room temp after cooking,Cool rapidly; refrigerate; reheat above 165°F; do not leave at room temperature,Bacillus cereus toxin (emetic form) is heat-stable — reheating does NOT destroy it once formed
temperature_time,any cooked food,high ambient temperature (>90°F / 32°C),Accelerated bacterial pathogen multiplication,Higher temperatures dramatically accelerate bacterial doubling time,Food poisoning (pathogen-specific symptoms),HIGH,>1 hour (halved danger zone time at high temps),Store in cooler with ice; do not rely on partial shade outdoors,Relevant for picnics/outdoor events; common false premise: "it was only out for 2 hours but it was hot outside"
temperature_time,raw meat / poultry / seafood (thawing),countertop room temperature thawing,Bacterial growth during thaw,Outer surface reaches danger zone while interior still frozen; bacteria multiply on warm outer layer,Food poisoning from multiple possible pathogens,HIGH,Any room-temperature thawing creates risk,Thaw in refrigerator (slow/safe) OR in cold running water OR in microwave-cook immediately; NEVER on countertop,Classic false premise: "how long does it take to safely thaw chicken on the counter?" — no safe duration exists
preparation_hazard,raw red kidney beans,cooking in slow cooker / undercooking,Phytohaemagglutinin lectin toxicity,Kidney bean lectin (hemagglutinin) binds intestinal cells; disrupts digestion and causes vomiting,Severe nausea / vomiting / severe diarrhea / stomach cramps,HIGH,As few as 4–5 raw beans; slow-cooker at 80°C INCREASES toxin activity (5x more than raw),Soak 5+ hours; discard soak water; boil in fresh water for 30+ minutes at full rolling boil; slow cookers do NOT reach adequate temperatures,Particularly dangerous: slow cooker cooking at lower temperatures actually concentrates lectin activity
preparation_hazard,raw/undercooked elderberries (seeds/leaves/twigs),consumption without cooking,Cyanogenic glycoside toxicity,Cyanogenic glycosides release hydrogen cyanide upon enzymatic breakdown in gut,Nausea / vomiting / diarrhea / dizziness; severe: cyanide poisoning symptoms,HIGH,Any consumption of raw berries or any part of leaves/twigs/seeds,Cook thoroughly; use only ripe berries; discard all seeds leaves and twigs; cooked elderberry jam/syrup is safe,Only ripe cooked berries are safe; leaves/seeds/green berries can cause acute poisoning
preparation_hazard,cassava root (yuca),raw consumption or inadequate processing,Cyanogenic glycoside toxicity,Raw cassava contains linamarin which releases hydrogen cyanide when damaged; levels vary by variety (sweet vs bitter),Cyanide poisoning: headache / nausea / neurological impairment / potentially fatal,HIGH,Raw or improperly processed cassava — especially bitter varieties,Soak / ferment / boil using traditional methods; peel deeply; discard cooking water; proper processing critical,Bitter varieties contain 10–50x more toxin; "sweet" cassava still requires proper preparation
preparation_hazard,green or sprouted potatoes,consumption of green skin or sprouted eyes,Solanine glycoalkaloid toxicity,Solanine (formed by light exposure / sprouting) is a cholinesterase inhibitor and membrane disruptor,GI: nausea / diarrhea / vomiting / cramps; Neurological: headache / dizziness / burning throat; Cardiac: arrhythmia (severe),MODERATE-HIGH,2–5 mg/kg body weight causes symptoms; 6+ mg/kg potentially fatal,Remove all green areas and sprouts deeply; peel thickly; discard if extensively green; store in dark,Common false premise: "my potato turned green but I can just cut off the green part and eat the rest" — solanine penetrates beyond visible green area
quantity_toxicity,nutmeg (Myristica fragrans),large quantity consumption (>2 tsp / >10g),Myristicin neurotoxicity,Myristicin and elemicin produce anticholinergic and psychoactive effects via MAO inhibition and serotonergic activity,Hallucinations / dizziness / nausea / dry mouth / rapid heartbeat / agitation / seizures at high doses,MODERATE-HIGH,~2 teaspoons (10g); toxic effects start around 1–3 teaspoons,Normal culinary use (pinch in baking) is safe; never consume large quantities as a drug,Nutmeg psychosis documented; death rare but reported; "how much nutmeg to get high" is a dangerous false premise
quantity_toxicity,star fruit (carambola),consumption in kidney disease patients or in large quantities,Caramboxin neurotoxin + oxalic acid nephrotoxicity,Caramboxin is an excitatory amino acid neurotoxin normally filtered by healthy kidneys; oxalate accumulates causing renal tubular damage,Neurotoxicity: confusion / hallucinations / weakness / seizures / death; Nephrotoxicity: acute kidney injury / renal failure,HIGH,Any amount for CKD patients; large quantities (>25mL juice) even for healthy individuals,CKD patients (stages 3–5 or on dialysis) must NEVER consume; healthy individuals: moderate single serving generally safe,Classic false premise: "how much star fruit can someone with kidney disease safely eat?" — answer is zero; any amount is dangerous
food_drug_interaction,grapefruit / grapefruit juice / pomelo / tangelo / bitter orange,simvastatin (Zocor) / atorvastatin (Lipitor) / lovastatin,CYP3A4 inhibition — statin toxicity,Furanocoumarins (bergamottin / DHB) in grapefruit irreversibly inhibit intestinal CYP3A4 → statin bioavailability increases dramatically (simvastatin 3.6-fold / 260%),Statin-induced myopathy / rhabdomyolysis (muscle breakdown) / acute renal failure / dark urine,MAJOR,Effect from any amount of grapefruit; persists 3–7 days after last grapefruit,Avoid grapefruit completely if taking affected statins; switch to rosuvastatin/pravastatin (unaffected) if citrus consumption important,Rosuvastatin / pravastatin / pitavastatin are NOT affected by grapefruit; common false premise: "how much grapefruit can I have with my statin?"
