Chemical_Compound,IUPAC_Name,Chemical_Formula,Common_Product_Names,Product_Type,Typical_Concentration,Physical_Form,Primary_Hazard,Handling_Notes
Sodium Hypochlorite,Sodium hypochlorite,NaOCl,Clorox; Lysol; generic bleach; liquid bleach products,Disinfectant/Bleach,3-8% in water,Liquid,Oxidizing agent; toxic gas precursor,Never mix with ammonia; never mix with acids; never mix with organic solvents
Ammonia,Ammonia,NH3,Windex; glass cleaners; some bathroom cleaners; industrial cleaners,Cleaner,5-10% solution in water,Liquid,Toxic gas precursor; irritant,Do not mix with bleach; can form lethal chloramine gas
Hydrogen Peroxide,Hydrogen peroxide,H2O2,Hydrogen peroxide disinfectant; wound cleaner; whitening products; some sterilizers,Disinfectant/Cleaner,3% consumer; up to 35% industrial,Liquid,Oxidizing agent; potentially explosive with organics,Do not mix with acetone; volatile oxidizer
Acetic Acid,Acetic acid,CH3COOH,Vinegar; white vinegar; some window cleaners; descaling products,Cleaner/Food product,4-8% in water (vinegar),Liquid,Weak acid; toxic gas precursor,Do not mix with bleach; can form lethal chlorine gas
Hydrochloric Acid,Hydrogen chloride,HCl,Toilet bowl cleaner; muriatic acid; some pool cleaners; drain cleaners,Cleaner/acid,10-35% in water,Liquid,Strong acid; toxic gas precursor,Do not mix with bleach; extremely corrosive; produces lethal chlorine gas
Isopropanol,Propan-2-ol,C3H8O,Rubbing alcohol; isopropyl alcohol; some disinfectants; hand sanitizer,Disinfectant/solvent,70% in water,Liquid,Flammable; toxic compound precursor,Do not mix with bleach; forms chloroform
Ethanol,Ethanol,C2H6O,Hand sanitizers; some disinfectants; some cleaning products; alcohol-based products,Disinfectant/solvent,60-95%,Liquid,Flammable; toxic compound precursor,Do not mix with bleach; forms chloroform
Phosphoric Acid,Orthophosphoric acid,H3PO4,Toilet bowl cleaners; rust removers; some descaling agents; some all-purpose cleaners,Cleaner/acid,10-25% in water,Liquid,Weak acid; toxic gas precursor,Do not mix with bleach; can form chlorine gas
Sodium Hydroxide,Sodium hydroxide,NaOH,Drain cleaner; oven cleaner; lye; caustic soda; some degreasers,Drain opener/Cleaner,1-100% depending on form,Solid granules or liquid,Strong base; extreme heat hazard; caustic burn,Highly exothermic with water; do not mix with aluminum; do not mix with other chemicals
Potassium Hydroxide,Potassium hydroxide,KOH,Some oven cleaners; some drain cleaners; caustic potash,Drain opener/cleaner,Variable,Solid or liquid,Strong base; extreme heat hazard; caustic burn,Similar hazards to sodium hydroxide
Sulfuric Acid,Sulfuric acid,H2SO4,Some drain cleaners (Liquid Lightning); battery acid; some pool chemicals,Drain opener/acid,95-98% concentrated; diluted in commercial products,Liquid,Strong acid; extreme heat hazard; toxic fume precursor,EXTREMELY exothermic; never add water to concentrated; do not mix with other chemicals
Calcium Hypochlorite,Calcium hypochlorite,Ca(ClO)2,Pool shock; pool chlorine granules; some disinfectants; swimming pool sanitizer,Pool chemical,65-75% available chlorine,White granular solid,Oxidizing agent; fire hazard; chlorine gas precursor,Do not mix with other pool chemicals; emits chlorine vapors in dry form
Trichlor,Trichloroisocyanuric acid,C3Cl3N3O3,Pool chlorine tablets; pool sticks; chlorine tablets; pool sanitizer tablets,Pool chemical,90% available chlorine,Tablet or stick form,Oxidizing agent; incompatible chlorine source; fire hazard,Do NOT mix with calcium hypochlorite; incompatible with inorganic chlorines
Acetone,Propanone,C3H6O,Nail polish remover; paint thinner; some solvents; fingernail polish remover,Solvent,100% or diluted,Liquid (volatile),Flammable; explosive precursor with H2O2,Do not mix with hydrogen peroxide; can form acetone peroxide explosive
Methyl Ethyl Ketone,Butan-2-one,C4H8O,Paint thinner; solvent; lacquer thinner; some industrial cleaners,Solvent,100%,Liquid,Flammable; toxic compound precursor,Do not mix with bleach; volatile
Aluminum,Aluminum,Al,Aluminum foil; aluminum cookware; aluminum fixtures; aluminum in pipes,Various household items,100% metal,Solid metal,Reactive with bases and some acids; hydrogen gas precursor,Do not use in contact with sodium/potassium hydroxide drains
Methylene Chloride,Dichloromethane,CH2Cl2,Some paint removers; some degreasers; old formulation oven cleaners,Solvent/stripper,Variable,Liquid,Toxic compound; potential toxic precursor,Do not mix with bases; avoid mixing with oxidizers
Acetone Peroxide,Various acetone peroxide isomers,Various,TATP; formed from mixing H2O2 and acetone,EXPLOSIVE (not a consumer product),N/A,White crystalline powder (if formed),PRIMARY EXPLOSIVE,NEVER form; extremely sensitive to friction; shock; heat
Peracetic Acid,Peroxyacetic acid,CH3CO-O-O-H,Disinfectant products; some sterilizers; not typically household,Disinfectant (commercial),Typically 0.15-3% in commercial products,Liquid solution,Strong oxidizer; irritant,Do not concentrate solutions
Chloramine Gas,Chloramine,NH2Cl,Produced from mixing bleach and ammonia,TOXIC GAS (produced inadvertently),N/A,Gas,TOXIC GAS - lethal,Produced accidentally; no safe concentration for exposure
Chlorine Gas,Chlorine,Cl2,Produced from mixing bleach with acids,TOXIC GAS (produced inadvertently),N/A,Gas (yellow-green color in high concentrations),TOXIC GAS - lethal,Produced accidentally; was chemical weapon in WWI
Chloroform,Trichloromethane,CHCl3,Produced from mixing bleach with alcohols,TOXIC COMPOUND (produced inadvertently),N/A,Liquid/volatile at room temperature,ANESTHETIC and organ damaging,Produced accidentally; can cause unconsciousness and death
Hydrogen Gas,Hydrogen,H2,Produced from sodium/potassium hydroxide + aluminum,FLAMMABLE GAS (produced inadvertently),N/A,Gas,EXPLOSIVE - forms explosive mixture with air,Produced accidentally from drain cleaners; explosive range 4-75% in air
